model,tier,threads,mode,test,tok_per_s,peak_rss_mb
qwen3-4b,low,4,baseline,pp64,24.41,8192
qwen3-4b,low,4,baseline,tg16,12.84,8192
qwen3-4b,low,4,slim-arc,pp64,28.69,8192
qwen3-4b,low,4,slim-arc,tg16,13.57,8192
olmoe,low,4,baseline,pp64,59.26,8192
olmoe,low,4,baseline,tg16,26.34,8192
olmoe,low,4,slim-arc,pp64,96.75,8192
olmoe,low,4,slim-arc,tg16,40.32,8192
qwen3-4b,mid,6,baseline,pp64,35.31,3073
qwen3-4b,mid,6,baseline,tg16,11.94,3073
qwen3-4b,mid,6,slim-arc,pp64,33.22,3073
qwen3-4b,mid,6,slim-arc,tg16,10.39,3073
olmoe,mid,6,baseline,pp64,100.09,3073
olmoe,mid,6,baseline,tg16,31.01,3073
olmoe,mid,6,slim-arc,pp64,91.25,3073
olmoe,mid,6,slim-arc,tg16,26.88,3073
qwen3-4b,high,8,baseline,pp64,40.91,16384
qwen3-4b,high,8,baseline,tg16,12.21,16384
qwen3-4b,high,8,slim-arc,pp64,42.56,16384
qwen3-4b,high,8,slim-arc,tg16,13.29,16384
olmoe,high,8,baseline,pp64,136.85,16384
olmoe,high,8,baseline,tg16,38.25,16384
olmoe,high,8,slim-arc,pp64,135.63,16384
olmoe,high,8,slim-arc,tg16,38.99,16384
