ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
0.0,0,0,92,5,12315,720896,3984
1.0,89,7,10548,39,12000612,1871872,63280
2.0,100,10,15123,39,12000612,1871872,289824
3.1,101,13,20393,39,12000612,1871872,554768
4.1,101,16,25553,39,12000612,1871872,820176
5.1,101,20,30873,39,12000612,1871872,1088976
6.1,102,22,36153,39,12000612,1871872,1351072
7.2,102,25,41433,39,12000612,1871872,1586624
8.2,102,28,46748,39,12000612,1871872,1680208
9.2,102,32,51993,39,12000612,1871872,1816144
10.2,102,36,57273,39,12000612,1871872,1979376
11.2,102,40,62593,39,12000612,1871872,2158112
12.3,102,43,67879,39,12000612,1871872,2275488
13.3,103,45,73194,39,12000612,1871872,2307952
14.3,103,49,78474,39,12000612,1871872,2295504
15.3,103,52,83754,39,12000612,1871872,2324032
16.3,103,56,88954,39,12000612,1871872,2442928
17.4,103,59,94234,39,12000612,1871872,2352848
18.4,103,63,99514,39,12000612,1871872,2219760
19.4,103,67,104834,39,12000612,1871872,2275168
20.4,103,71,110201,39,12000612,1871872,2272672
21.5,103,75,115481,39,12000612,1871872,2427712
22.5,103,79,120761,39,12000612,1871872,2435808
23.5,103,82,126041,39,12000612,1871872,2459360
24.5,103,85,131361,39,12000612,1871872,2418672
25.5,103,89,136641,39,12000612,1871872,2477424
26.6,103,92,141921,39,12000612,1871872,2378448
27.6,103,96,147241,39,12000612,1871872,2330400
28.6,103,99,152521,39,12000612,1871872,2420016
29.6,103,103,157801,39,12000612,1871872,2414400
30.7,103,107,163081,39,12000612,1875968,2484096
31.7,103,111,168361,39,12000612,1875968,2604064
32.7,103,114,173641,39,12000612,1875968,2456336
33.7,103,118,178841,39,12000612,1875968,2302400
34.7,103,122,184161,39,12000612,1875968,2455696
35.7,103,126,189441,39,12000612,1875968,2604544
36.8,103,130,194721,39,12000612,1875968,2470384
37.8,103,133,200001,39,12000612,1875968,2562816
38.8,103,137,205281,39,12000612,1875968,2559632
39.8,103,141,210556,39,12000612,1875968,2529744
40.9,103,144,215841,39,12000612,1875968,2263808
41.9,103,147,221121,39,12000612,1875968,2292608
42.9,104,151,226441,39,12000612,1875968,2495824
43.9,104,154,231681,39,12000612,1875968,2599552
44.9,104,158,236961,39,12000612,1875968,2560720
46.0,105,161,242241,39,12000612,1875968,2568928
47.0,105,164,247481,39,12000612,1875968,2496688
48.0,105,167,252801,39,12000612,1875968,2515280
49.0,106,171,258001,39,12000612,1875968,2447520
50.0,106,174,263281,39,12000612,1875968,2458704
51.1,106,177,268641,39,12000612,1875968,2374672
52.1,106,181,273921,39,12000612,1875968,2331888
53.1,106,184,279201,39,12000612,1875968,2438736
54.1,106,187,284481,39,12000612,1875968,2582368
55.1,106,191,289801,39,12000612,1875968,2696768
56.2,106,194,295081,39,12000612,1875968,2608096
57.2,106,197,300361,39,12000612,1875968,2314832
58.2,106,201,305681,39,12000612,1875968,2161776
59.2,106,204,310961,39,12000612,1875968,2278944
60.2,107,207,316241,39,12000612,1875968,2442800
61.3,107,211,321521,39,12000612,1875968,2597280
62.3,107,215,326801,39,12000612,1875968,2651008
63.3,107,218,332092,39,12000612,1875968,2693984
64.3,107,222,337492,39,12000612,1875968,2507776
65.4,107,225,342812,39,12000612,1875968,2500160
66.4,107,229,348132,39,12000612,1875968,2719968
67.4,107,234,353301,39,12000612,1880064,2487008
68.4,107,237,358621,39,12000612,1880064,2331952
69.5,107,240,363941,39,12000612,1880064,2252400
70.5,107,243,369221,39,12000612,1880064,2373520
71.5,107,247,374541,39,12000612,1880064,2481472
72.5,107,250,379821,39,12000612,1880064,2572096
73.5,107,254,385101,39,12000612,1880064,2592144
74.6,107,257,390381,39,12000612,1880064,2551280
75.6,107,260,395701,39,12000612,1880064,2596784
76.6,107,264,400981,39,12000612,1880064,2691600
77.6,107,267,406261,39,12000612,1880064,2771840
78.6,107,271,411541,39,12000612,1880064,2768480
79.7,107,275,416821,39,12000612,1880064,2796272
80.7,108,278,422141,39,12000612,1880064,2873872
81.7,108,282,427461,39,12000612,1880064,2591600
82.7,108,285,432741,39,12000612,1880064,2451184
83.7,108,289,438021,39,12000612,1880064,2349040
84.8,108,293,443301,39,12000612,1880064,2466368
85.8,108,297,448512,39,12000612,1880064,2521040
86.8,109,300,453832,39,12000612,1880064,2646288
87.8,109,303,459112,39,12000612,1880064,2635728
88.8,109,307,464392,39,12000612,1880064,2632160
89.9,109,310,469672,39,12000612,1880064,2714544
90.9,110,313,474992,39,12000612,1880064,2634848
91.9,110,317,480276,39,12000612,1880064,2565936
92.9,110,321,485516,39,12000612,1880064,2695664
93.9,110,324,490796,39,12000612,1880064,2736304
95.0,110,327,496116,39,12000612,1880064,2584624
96.0,110,331,501396,39,12000612,1880064,2479008
97.0,110,334,506706,39,12000612,1880064,2527536
98.0,110,338,511996,39,12000612,1884160,2563328
99.1,110,341,517316,39,12000612,1884160,2685632
100.1,110,344,522621,39,12000612,1884160,2783664
101.1,110,348,527916,39,12000612,1884160,2728576
102.1,111,352,533196,39,12000612,1884160,2546496
103.2,111,356,538476,39,12000612,1884160,2505984
104.2,111,359,543836,39,12000612,1884160,2526784
105.2,111,363,549036,39,12000612,1884160,2614224
106.2,111,366,554316,39,12000612,1884160,2528800
107.2,111,370,559596,39,12000612,1884160,2435520
108.3,111,373,564916,39,12000612,1884160,2485696
109.3,112,376,570196,39,12000612,1884160,2610400
110.3,112,379,575476,39,12000612,1884160,2760288
111.3,112,382,580756,39,12000612,1884160,2730768
112.3,112,385,586076,39,12000612,1884160,2591424
113.4,112,389,591391,39,12000612,1884160,2495712
114.4,112,393,596636,39,12000612,1884160,2641120
115.4,113,397,601916,39,12000612,1884160,2687536
116.4,113,401,607156,39,12000612,1884160,2728608
117.4,113,404,612436,39,12000612,1884160,2564384
118.5,113,406,617756,39,12000612,1884160,2403744
119.5,113,410,623036,39,12000612,1884160,2442672
120.5,114,413,628316,39,12000612,1884160,2399984
121.5,114,417,633596,39,12000612,1884160,2584288
122.5,114,420,638876,39,12000612,1884160,2675264
123.6,115,423,644116,39,12000612,1884160,2683120
124.6,115,426,649396,39,12000612,1884160,2587184
125.6,115,429,654676,39,12000612,1884160,2740640
126.6,115,433,659996,39,12000612,1884160,2614032
127.6,115,436,665236,39,12000612,1884160,2520464
128.7,115,440,670516,39,12000612,1888256,2494656
129.7,115,444,675796,39,12000612,1888256,2496992
130.7,115,448,681116,39,12000612,1888256,2619200
131.7,115,451,686396,39,12000612,1888256,2674656
132.7,115,454,691676,39,12000612,1888256,2640304
133.8,115,458,696996,39,12000612,1888256,2636736
134.8,116,461,702276,39,12000612,1888256,2649488
135.8,116,465,707516,39,12000612,1888256,2759424
136.8,116,468,712796,39,12000612,1888256,2774784
137.8,116,471,718076,39,12000612,1888256,2634832
138.9,117,475,723396,39,12000612,1888256,2720448
139.9,117,478,728676,39,12000612,1888256,2633792
140.9,117,482,733956,39,12000612,1888256,2501520
141.9,117,486,739156,39,12000612,1888256,2406144
142.9,117,489,744471,39,12000612,1888256,2510368
144.0,117,493,749756,39,12000612,1888256,2597168
145.0,117,496,755036,39,12000612,1888256,2576336
146.0,117,499,760356,39,12000612,1888256,2597168
147.0,117,503,765636,39,12000612,1888256,2712064
148.0,118,506,770916,39,12000612,1888256,2626048
149.1,118,510,776196,39,12000612,1888256,2402384
150.1,118,514,781516,39,12000612,1888256,2399024
151.1,118,518,786756,39,12000612,1888256,2541328
152.1,118,522,792036,39,12000612,1888256,2483728
153.2,118,526,797316,39,12000612,1888256,2625216
154.2,118,530,802481,39,12000612,1888256,2769040
155.2,118,534,807681,39,12000612,1888256,2626768
156.2,119,537,812961,39,12000612,1888256,2567920
157.2,119,541,818241,39,12000612,1888256,2583184
158.3,119,544,823561,39,12000612,1888256,2469472
159.3,119,547,828841,39,12000612,1892352,2524240
160.3,119,551,834121,39,12000612,1892352,2574576
161.3,119,554,839401,39,12000612,1892352,2622560
162.3,119,558,844681,39,12000612,1892352,2730576
163.4,119,561,849961,39,12000612,1892352,2622960
164.4,119,565,855281,39,12000612,1892352,2656960
165.4,119,568,860561,39,12000612,1892352,2712416
166.4,119,571,865841,39,12000612,1892352,2728512
167.4,119,575,871121,39,12000612,1892352,2650768
168.5,119,579,876401,39,12000612,1892352,2694480
169.5,119,583,881561,39,12000612,1892352,2622160
170.5,119,586,886881,39,12000612,1892352,2730416
171.5,119,590,892161,39,12000612,1892352,2599216
172.5,119,593,897471,39,12000612,1892352,2789680
173.6,119,597,902761,39,12000612,1892352,2757584
174.6,119,601,908041,39,12000612,1892352,2769136
175.6,119,605,913321,39,12000612,1892352,2792816
176.6,119,610,918561,39,12000612,1892352,2499520
177.7,119,614,923841,39,12000612,1892352,2425056
178.7,119,617,929121,39,12000612,1892352,2366112
179.7,119,620,934361,60,12000612,4513792,2524432
180.7,133,630,943790,1602,12000612,21979136,2628432
181.7,147,631,946733,2450,12000612,21979136,2532656
182.8,161,632,949804,3317,12000612,21979136,2493552
183.8,173,636,952331,4100,12000612,21979136,2488416
184.8,180,641,955258,4971,12000612,21979136,2483952
185.8,195,641,958609,5916,12000612,21979136,2487312
186.8,208,641,961718,6808,12000612,21979136,2490496
187.9,216,644,964602,7683,12000612,21979136,2485424
188.9,229,647,967822,8598,12000612,21979136,2489712
189.9,239,654,970455,9409,12000612,21979136,2487712
190.9,252,655,973322,10251,12000612,21979136,2482736
191.9,262,661,976924,11259,12000612,21979136,2484992
193.0,273,665,980046,12124,12000612,21979136,2483984
194.0,282,668,983126,13022,12000612,21979136,2486480
195.0,293,671,986080,13862,12000612,21979136,2485888
196.0,301,676,988952,14661,12000612,21979136,2477088
197.0,312,679,992075,15555,12000612,21979136,2467200
198.0,323,683,995265,16516,12000612,21979136,2484320
199.1,337,685,998084,17308,12000612,21979136,2476384
200.1,350,686,1001044,18122,12000612,21979136,2475840
201.1,369,687,1003969,18965,12000612,21979136,2474752
202.1,379,690,1006957,19694,12000612,21979136,2464160
203.1,392,693,1009188,20360,12000612,21979136,2452848
204.2,408,695,1011912,21034,12000612,21979136,2444880
205.2,423,699,1014738,22079,12000612,21979136,2488000
206.2,433,708,1018272,23226,12000616,21995520,2452800
207.2,450,708,1021259,24071,12000616,21995520,2405248
208.2,466,711,1024289,24917,12000616,21995520,2364768
209.3,482,714,1027262,25754,12000616,21995520,2342320
210.3,493,719,1030395,26686,12000616,21995520,2345328
211.3,509,723,1033384,27575,12000616,22028288,2326496
212.3,518,725,1036422,28471,12000616,22208512,2294560
213.4,529,729,1039433,29381,12000616,22355968,2265888
214.4,539,731,1042628,30290,12000616,22454272,2255728
215.4,549,733,1045714,31190,12000616,22536192,2261408
216.4,558,737,1048633,32087,12000616,22552576,2254000
217.4,572,738,1051477,32946,12000616,22585344,2245008
218.4,579,743,1054437,33824,12000616,22585344,2241792
219.5,595,743,1057429,34711,12000616,22585344,2254800
220.5,608,743,1060311,35540,12000616,22650880,2247024
221.5,623,745,1063334,36399,12000616,22716416,2234272
222.5,630,750,1065696,37148,12000616,22732800,2229024
223.5,644,752,1068565,37997,12000616,22765568,2234288
224.6,656,757,1071485,38854,12000616,22814720,2235104
225.6,667,762,1074322,39670,12000616,22831104,2235184
226.6,676,768,1077184,40473,12000616,22831104,2232000
227.6,690,768,1080215,41364,12000616,22896640,2237728
228.6,695,771,1082545,42053,12000616,22929408,2220352
229.6,706,772,1085180,42797,12000616,22978560,2216144
230.7,713,776,1087726,43583,12000616,23027712,2216400
231.7,727,781,1090604,44717,12000616,23191552,2249264
232.7,739,787,1094115,46290,12001519,31432704,2248928
233.7,745,791,1096278,47051,12001519,31531008,2236736
234.7,750,792,1098973,47756,12001519,31531008,2202960
235.8,761,794,1101518,48508,12001519,31563776,2202112
236.8,773,796,1104259,49267,12001519,31563776,2214336
237.8,775,801,1106742,50054,12001519,31563776,2212912
238.8,784,805,1109415,50839,12001519,31563776,2224432
239.8,794,810,1111994,51615,12001519,31563776,2220864
240.8,804,812,1114712,52388,12001519,31563776,2227488
241.9,818,812,1117504,53147,12001519,31563776,2227200
242.9,823,812,1119616,53880,12001519,31563776,2226384
243.9,836,814,1122363,54682,12001519,31563776,2223360
244.9,850,815,1125117,55511,12001519,31563776,2220752
245.9,856,816,1127401,56217,12001519,31563776,2213056
247.0,868,818,1129983,57007,12001519,31563776,2219520
248.0,880,818,1132650,57743,12001519,31563776,2219136
249.0,888,822,1135473,58556,12001519,31563776,2223392
250.0,899,824,1138063,59286,12001519,31563776,2225680
251.0,911,828,1140641,60058,12001519,31563776,2224352
252.1,922,832,1143328,60820,12001519,31563776,2226000
253.1,929,834,1145554,61473,12001519,31563776,2211328
254.1,934,838,1148100,62222,12001519,31563776,2219504
255.1,945,840,1150872,63020,12001519,31563776,2223312
256.1,956,842,1153309,63747,12001519,31563776,2213616
257.1,967,845,1156051,64486,12001519,31563776,2222496
258.2,971,847,1158359,65198,12001519,31563776,2213984
259.2,982,847,1160912,66040,12001519,31563776,2225168
260.2,989,852,1163714,66815,12001519,31563776,2220592
261.2,1004,852,1166533,67552,12001519,31563776,2214544
262.2,1013,856,1169227,68291,12001519,31563776,2224496
263.2,1019,857,1171421,68992,12001519,31563776,2212432
264.3,1034,858,1173874,69729,12001519,31563776,2216192
265.3,1053,861,1176465,70470,12001519,31563776,2219232
266.3,1067,865,1178908,71222,12001519,31563776,2195776
267.3,1084,866,1181427,71987,12001519,31563776,2205600
268.3,1095,872,1184021,72686,12001519,31563776,2192752
269.3,1103,876,1186771,73485,12001519,31563776,2204912
270.4,1111,877,1189156,74203,12001519,31563776,2197584
