ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
0.0,0,0,70,4,11483,745472,3712
1.0,90,6,10545,24,12000612,1875968,63408
2.0,103,7,17417,24,12000612,1875968,312320
3.1,103,11,22712,24,12000612,1875968,532816
4.1,103,15,27967,24,12000612,1875968,804144
5.1,103,19,33327,24,12000612,1875968,1071728
6.2,104,21,38607,25,12000612,1892352,1125616
7.2,104,24,43897,25,12000612,1892352,1279936
8.2,104,28,49167,25,12000612,1892352,1460848
9.2,105,31,54447,25,12000612,1892352,1451008
10.3,106,35,60167,25,12000612,1892352,1453984
11.3,106,38,65447,25,12000612,1892352,1513920
12.4,107,40,70767,25,12000612,1892352,1691664
13.4,107,44,76113,25,12000612,1892352,1732384
14.4,107,47,81410,25,12000612,1892352,1773856
15.4,107,51,86690,25,12000612,1892352,1939744
16.5,109,54,91879,25,12000612,1892352,1959312
17.5,110,57,97199,25,12000612,1892352,1866688
18.5,110,60,102479,25,12000612,1892352,1770176
19.5,110,62,107799,25,12000612,1892352,1785728
20.5,111,65,113079,25,12000612,1892352,1973312
21.5,112,68,118359,25,12000612,1892352,2168352
22.6,112,71,123639,25,12000612,1892352,2318640
23.6,112,76,128739,25,12000612,1892352,2246896
24.6,112,79,134039,25,12000612,1892352,2277040
25.6,112,82,139359,25,12000612,1892352,2336256
26.6,112,86,144639,25,12000612,1892352,2442816
27.7,112,89,149919,25,12000612,1892352,2406480
28.7,112,93,155199,25,12000612,1892352,2424976
29.7,112,97,160479,25,12000612,1892352,2207152
30.7,112,100,165799,25,12000612,1892352,2291488
31.7,112,104,171079,25,12000612,1892352,2377440
32.8,112,108,176399,25,12000612,1892352,2297344
33.8,112,111,181684,25,12000612,1892352,2358832
34.8,112,114,186959,25,12000612,1892352,2453520
35.8,112,118,192279,25,12000612,1892352,2476272
36.9,112,121,197559,25,12000612,1892352,2351024
37.9,112,125,202839,25,12000612,1892352,2310960
38.9,112,129,208119,25,12000612,1892352,2480016
39.9,112,132,213399,25,12000612,1892352,2453120
40.9,112,135,218719,25,12000612,1892352,2481152
42.0,112,139,223999,25,12000612,1892352,2631120
43.0,112,142,229279,25,12000612,1892352,2664944
44.0,112,146,234559,25,12000612,1892352,2685872
45.0,112,150,239839,25,12000612,1892352,2752000
46.0,112,154,245119,26,12000612,1908736,2622800
47.1,112,157,250439,26,12000612,1908736,2426224
48.1,112,160,255759,26,12000612,1908736,2283264
49.1,112,163,260999,26,12000612,1908736,2266560
50.1,112,167,266319,26,12000612,1908736,2424368
51.1,112,171,271599,26,12000612,1908736,2606336
52.2,113,174,276879,26,12000612,1908736,2682432
53.2,113,177,282199,26,12000612,1908736,2729280
54.2,113,181,287319,26,12000612,1908736,2679616
55.2,113,184,292639,26,12000612,1908736,2598352
56.2,113,188,297954,26,12000612,1908736,2507472
57.3,113,192,303199,26,12000612,1908736,2409264
58.3,113,196,308479,26,12000612,1908736,2385456
59.3,113,200,313759,26,12000612,1908736,2438128
60.3,113,204,318999,26,12000612,1908736,2577072
61.3,113,207,324279,26,12000612,1908736,2444896
62.4,113,210,329599,26,12000612,1908736,2540352
63.4,114,214,334879,26,12000612,1908736,2655808
64.4,114,217,340199,26,12000612,1908736,2554576
65.4,114,221,345479,26,12000612,1908736,2566848
66.5,114,225,350759,26,12000612,1908736,2625184
67.5,114,228,356039,26,12000612,1908736,2577168
68.5,114,232,361319,26,12000612,1908736,2636000
69.5,114,236,366599,26,12000612,1908736,2857232
70.5,114,239,371879,26,12000612,1908736,2638288
71.6,114,243,377159,26,12000612,1908736,2440768
72.6,114,246,382479,26,12000612,1908736,2325632
73.6,114,249,387759,26,12000612,1908736,2441312
74.6,114,252,393039,26,12000612,1908736,2703456
75.6,114,256,398319,26,12000612,1908736,2731904
76.7,114,259,403639,26,12000612,1908736,2596848
77.7,114,263,408949,26,12000612,1908736,2512368
78.7,114,266,414239,26,12000612,1908736,2518336
79.7,114,270,419519,26,12000612,1908736,2612016
80.7,114,274,424759,26,12000612,1908736,2613216
81.8,114,278,429959,26,12000612,1908736,2534464
82.8,114,281,435279,26,12000612,1908736,2642432
83.8,114,284,440559,26,12000612,1908736,2520368
84.8,114,287,445839,26,12000612,1908736,2646992
85.8,115,291,451159,26,12000612,1908736,2674816
86.9,115,294,456399,26,12000612,1908736,2442832
87.9,115,297,461719,26,12000612,1908736,2448608
88.9,115,301,466999,26,12000612,1908736,2465296
89.9,116,304,472319,26,12000612,1908736,2575616
90.9,116,307,477559,26,12000612,1908736,2595440
92.0,116,310,482879,26,12000612,1908736,2591680
93.0,116,314,488160,26,12000612,1908736,2702816
94.0,116,318,493449,26,12000612,1908736,2689696
95.0,117,320,498759,26,12000612,1908736,2607536
96.0,117,323,504069,26,12000612,1908736,2479952
97.1,117,327,509359,26,12000612,1908736,2402112
98.1,117,330,514559,26,12000612,1908736,2479728
99.1,117,334,519839,26,12000612,1908736,2621888
100.2,117,337,525119,26,12000612,1908736,2667440
101.2,117,341,530399,26,12000612,1908736,2662896
102.2,117,344,535679,26,12000612,1908736,2736656
103.2,117,348,541039,26,12000612,1908736,2597248
104.2,117,351,546319,26,12000612,1908736,2586160
105.3,117,354,551639,26,12000612,1908736,2559504
106.3,117,358,556919,26,12000612,1908736,2619584
107.3,117,361,562239,26,12000612,1908736,2797872
108.3,117,364,567559,26,12000612,1908736,2545040
109.4,117,368,572879,26,12000612,1908736,2370544
110.4,117,372,578159,26,12000612,1908736,2464400
111.4,117,375,583439,26,12000612,1908736,2657248
112.4,118,378,588730,26,12000612,1908736,2795808
113.4,118,382,594010,26,12000612,1908736,2832464
114.5,118,386,599290,26,12000612,1908736,2750992
115.5,118,390,604580,26,12000612,1908736,2609696
116.5,118,393,609810,26,12000612,1908736,2561440
117.5,118,398,615090,26,12000612,1908736,2670128
118.5,119,401,620370,26,12000612,1908736,2736752
119.6,119,404,625650,26,12000612,1908736,2621696
120.6,119,408,630930,26,12000612,1908736,2597248
121.6,119,412,636250,26,12000612,1908736,2599760
122.7,120,415,641610,26,12000612,1908736,2548288
123.7,120,419,646890,26,12000612,1908736,2566032
124.7,120,423,652170,26,12000612,1912832,2648064
125.7,120,427,657450,26,12000612,1912832,2550272
126.8,120,431,662730,26,12000612,1912832,2451120
127.8,120,435,668010,26,12000612,1912832,2455280
128.8,120,439,673290,26,12000612,1912832,2433328
129.8,120,442,678570,26,12000612,1912832,2592512
130.8,120,446,683850,26,12000612,1912832,2685920
131.9,120,450,689130,26,12000612,1912832,2480080
132.9,120,453,694410,26,12000612,1912832,2403680
133.9,120,456,699690,26,12000612,1912832,2358592
134.9,120,460,704930,26,12000612,1912832,2394976
135.9,120,463,710210,26,12000612,1912832,2501472
137.0,121,466,715490,26,12000612,1912832,2743216
138.0,121,470,720730,26,12000612,1912832,2751856
139.0,121,474,726010,26,12000612,1912832,2597408
140.0,121,477,731330,26,12000612,1912832,2323168
141.0,121,480,736651,26,12000612,1912832,2166976
142.1,122,483,741931,26,12000612,1912832,2156592
143.1,122,486,747211,26,12000612,1912832,2371872
144.1,122,490,752491,26,12000612,1912832,2642208
145.1,122,495,757741,26,12000612,1912832,2638736
146.1,122,498,763051,26,12000612,1912832,2645424
147.2,122,501,768331,26,12000612,1912832,2668976
148.2,122,504,773611,26,12000612,1912832,2504576
149.2,122,507,778931,26,12000612,1912832,2553712
150.2,122,512,784011,26,12000612,1912832,2488336
151.2,122,515,789306,26,12000612,1912832,2446416
152.3,122,520,794571,26,12000612,1912832,2420800
153.3,122,523,799851,26,12000612,1912832,2431168
154.3,122,527,805076,26,12000612,1912832,2551872
155.3,122,531,810316,26,12000612,1912832,2678784
156.3,122,535,815596,26,12000612,1912832,2496944
157.4,122,538,820876,26,12000612,1912832,2360000
158.4,122,542,826156,26,12000612,1912832,2292224
159.4,122,545,831476,26,12000612,1912832,2443360
160.4,122,549,836756,26,12000612,1912832,2459424
161.4,123,552,842036,26,12000612,1912832,2615664
162.5,123,556,847316,26,12000612,1912832,2534752
163.5,123,560,852596,26,12000612,1912832,2303696
164.5,123,564,857861,26,12000612,1912832,2297232
165.5,123,568,863116,26,12000612,1912832,2438272
166.6,123,572,868437,26,12000612,1912832,2594880
167.6,123,576,873728,26,12000612,1912832,2679344
168.6,124,579,879008,26,12000612,1912832,2656752
169.6,124,583,884263,26,12000612,1912832,2507168
170.6,124,586,889528,26,12000612,1912832,2340848
171.7,124,590,894808,26,12000612,1912832,2278976
172.7,124,594,900089,26,12000612,1912832,2435632
173.7,124,597,905369,26,12000612,1912832,2513424
174.7,124,601,910649,26,12000612,1912832,2702608
175.7,124,605,915929,26,12000612,1912832,2609312
176.8,124,608,921209,26,12000612,1912832,2440656
177.8,124,613,926489,26,12000612,1912832,2331440
178.8,124,616,931769,26,12000612,1912832,2347184
179.8,131,624,942528,944,12000612,22081536,2474064
180.8,142,627,945958,1851,12000612,22147072,2466944
181.9,152,631,948917,2723,12000612,22147072,2473024
182.9,161,636,952071,3667,12000612,22147072,2514480
183.9,173,641,955053,4553,12000612,22147072,2523504
184.9,183,646,958108,5430,12000612,22147072,2510640
185.9,190,653,961256,6327,12000612,22147072,2525648
186.9,202,655,964198,7202,12000612,22147072,2476016
188.0,209,664,967011,8024,12000612,22147072,2404912
189.0,226,664,970155,8921,12000612,22147072,2353376
190.0,241,667,972904,9748,12000612,22147072,2355200
191.0,250,671,976128,10652,12000612,22147072,2330208
192.0,263,673,979083,11498,12000612,22147072,2334640
193.1,274,675,982165,12377,12000612,22147072,2309920
194.1,286,676,985555,13346,12000612,22147072,2274160
195.1,302,680,988303,14138,12000612,22147072,2231872
196.1,312,686,990816,14924,12000612,22147072,2190048
197.1,323,689,993811,15830,12000612,22147072,2158672
198.2,332,693,996845,16679,12000612,22147072,2131360
199.2,342,698,999668,17507,12000612,22147072,2128032
200.2,356,700,1002385,18329,12000612,22147072,2108368
201.3,375,700,1005120,19083,12000612,22147072,2097760
202.3,390,702,1007634,19802,12000612,22147072,2086768
203.3,400,708,1010487,20497,12000612,22147072,2074752
204.3,415,712,1012800,21187,12000612,22147072,2054640
