ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
0.0,0,0,194,6,413508,557056,18560
1.1,92,5,10861,14,12000612,1048576,68160
2.1,97,9,19294,14,12000612,1048576,417776
3.1,99,11,24577,14,12000612,1048576,614096
4.2,99,14,29915,14,12000612,1048576,832464
5.2,100,17,35261,14,12000612,1048576,1047104
6.2,100,21,40537,14,12000612,1048576,1245232
7.2,100,24,45883,14,12000612,1048576,1377264
8.2,100,28,51247,14,12000612,1048576,1522512
9.3,100,31,56584,14,12000612,1048576,1630096
10.3,101,34,61974,14,12000612,1048576,1856336
11.3,101,37,67288,14,12000612,1048576,1906928
12.3,101,41,72601,14,12000612,1048576,1968272
13.3,101,45,77894,14,12000612,1048576,2087504
14.4,101,48,83250,14,12000612,1048576,1990528
15.4,101,53,88370,14,12000612,1048576,2185360
16.4,101,57,93690,14,12000612,1048576,2242416
17.4,101,61,98930,14,12000612,1048576,2322608
18.4,101,64,104221,14,12000612,1048576,2167840
19.5,101,67,109541,14,12000612,1048576,2116272
20.5,101,70,114821,14,12000612,1048576,2074480
21.5,101,74,120101,14,12000612,1048576,2117968
22.5,101,78,125381,14,12000612,1048576,2182912
23.5,101,82,130701,14,12000612,1048576,2225840
24.6,101,86,135861,14,12000612,1048576,2281680
25.6,101,90,141121,14,12000612,1048576,2271440
26.6,101,93,146447,14,12000612,1048576,2362688
27.6,101,97,151688,14,12000612,1048576,2302064
28.7,101,101,156976,14,12000612,1048576,2281040
29.7,101,104,162256,14,12000612,1048576,2385520
30.7,101,108,167536,14,12000612,1048576,2414096
31.7,101,112,172817,14,12000612,1052672,2316624
32.7,101,115,178137,14,12000612,1052672,2361728
33.7,101,119,183417,14,12000612,1052672,2513408
34.8,101,123,188617,14,12000612,1052672,2689184
35.8,101,127,193937,14,12000612,1052672,2393040
36.8,101,130,199177,14,12000612,1052672,2283376
37.8,102,132,204497,14,12000612,1052672,2345936
38.9,102,135,209777,14,12000612,1052672,2512752
39.9,103,139,215057,14,12000612,1052672,2628448
40.9,103,143,220377,14,12000612,1052672,2512208
41.9,104,146,225657,14,12000612,1052672,2303200
43.0,104,149,230977,14,12000612,1052672,2302688
44.0,105,152,236257,14,12000612,1052672,2247088
45.0,105,156,241537,14,12000612,1052672,2383088
46.0,105,159,246817,14,12000612,1052672,2430368
47.0,105,163,252097,14,12000612,1052672,2532384
48.1,105,166,257377,14,12000612,1052672,2418400
49.1,105,170,262698,14,12000612,1052672,2270240
50.1,106,173,267978,14,12000612,1052672,2247376
51.1,106,176,273258,14,12000612,1052672,2279872
52.1,106,179,278578,14,12000612,1052672,2321072
53.2,106,183,283858,14,12000612,1052672,2492752
54.2,107,186,289138,14,12000612,1052672,2639984
55.2,107,189,294428,15,12000612,1069056,2521776
56.2,107,193,299778,15,12000612,1069056,2508608
57.2,107,197,304858,15,12000612,1069056,2449248
58.3,107,201,310178,15,12000612,1069056,2437312
59.3,107,205,315458,15,12000612,1069056,2497504
60.3,107,209,320738,15,12000612,1069056,2550368
61.3,107,213,326018,15,12000612,1069056,2576496
62.3,107,216,331298,15,12000612,1073152,2658768
63.4,107,220,336578,15,12000612,1073152,2617008
64.4,107,223,341898,15,12000612,1073152,2669152
65.4,107,227,347148,15,12000612,1073152,2497104
66.4,107,230,352458,15,12000612,1073152,2234144
67.4,107,233,357738,15,12000612,1073152,2255680
68.5,107,237,363058,15,12000612,1073152,2338304
69.5,107,240,368338,15,12000612,1073152,2458720
70.5,107,244,373618,15,12000612,1073152,2678448
71.5,107,249,378898,15,12000612,1073152,2543472
72.5,108,253,384058,15,12000612,1073152,2525872
73.6,108,257,389378,15,12000612,1073152,2619904
74.6,108,260,394618,15,12000612,1073152,2534000
75.6,108,264,399938,15,12000612,1073152,2376112
76.6,108,267,405218,15,12000612,1073152,2344544
77.7,108,271,410538,15,12000612,1073152,2393168
78.7,108,274,415818,15,12000612,1073152,2588160
79.7,108,277,421098,15,12000612,1073152,2503648
80.7,108,281,426383,15,12000612,1073152,2534208
81.7,108,284,431693,15,12000612,1073152,2514016
82.8,108,288,436938,15,12000612,1073152,2423248
83.8,108,291,442258,15,12000612,1073152,2303904
84.8,108,294,447578,15,12000612,1073152,2438864
85.8,108,298,452858,15,12000612,1073152,2598800
86.8,109,301,458138,15,12000612,1073152,2794752
87.9,109,305,463378,15,12000612,1073152,2749936
88.9,110,308,468658,15,12000612,1073152,2578672
89.9,110,311,473978,15,12000612,1073152,2544192
90.9,110,315,479258,15,12000612,1073152,2713408
91.9,110,318,484538,15,12000612,1073152,2832480
93.0,110,322,489698,15,12000612,1073152,2581936
