ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
0.0,0,0,79,5,10651,1220608,2704
1.0,90,4,10541,57,12000612,3047424,63168
2.1,104,8,15134,57,12000612,3047424,286432
3.1,104,12,20344,57,12000612,3047424,553088
4.1,104,16,25640,57,12000612,3047424,819968
5.1,104,19,30920,57,12000612,3047424,1090304
6.1,104,22,36200,57,12000612,3047424,1362576
7.2,104,26,41480,57,12000612,3047424,1632896
8.2,104,30,46800,57,12000612,3047424,1818304
9.2,104,33,52080,57,12000612,3047424,1872560
10.2,104,37,57281,57,12000612,3047424,1865568
11.2,106,38,62601,57,12000612,3047424,1846128
12.3,107,41,67841,57,12000612,3047424,1985168
13.3,107,45,73091,57,12000612,3047424,2200720
14.3,108,49,78361,57,12000612,3047424,2066544
15.3,109,51,83696,57,12000612,3047424,2098720
16.3,109,54,89001,57,12000612,3047424,2096016
17.4,109,58,94241,57,12000612,3047424,2084544
18.4,109,62,99521,57,12000612,3047424,2128208
19.4,109,66,104801,57,12000612,3047424,1960560
20.4,109,70,110081,57,12000612,3047424,1980256
21.4,109,73,115371,57,12000612,3047424,2195520
22.5,110,76,120681,57,12000612,3047424,2318144
23.5,111,79,126001,57,12000612,3047424,2325888
24.5,111,82,131303,57,12000612,3047424,2080336
25.6,111,85,136623,57,12000612,3047424,1975488
26.6,112,89,141903,57,12000612,3047424,2016672
27.6,112,92,147223,57,12000612,3047424,2152528
28.6,112,96,152343,57,12000612,3047424,2163088
29.6,114,98,157623,57,12000612,3047424,2062752
30.7,114,102,162903,57,12000612,3047424,2018448
31.7,114,106,168143,57,12000612,3047424,2113296
32.7,114,109,173423,57,12000612,3047424,2246256
33.7,115,112,178704,57,12000612,3047424,2211136
34.7,115,115,184024,57,12000612,3047424,2281376
35.8,116,118,189304,57,12000612,3047424,2342288
36.8,116,122,194497,57,12000612,3047424,2134256
37.8,116,125,199817,57,12000612,3047424,1986768
38.8,116,129,205097,57,12000612,3047424,1983296
39.8,117,132,210377,57,12000612,3047424,2150656
40.9,117,136,215657,57,12000612,3047424,2268752
41.9,117,140,220947,57,12000612,3047424,2163632
42.9,117,143,226267,57,12000612,3047424,2124848
43.9,117,146,231547,57,12000612,3047424,2198272
45.0,117,150,236867,57,12000612,3047424,2253024
46.0,117,154,242147,57,12000612,3047424,2377296
47.0,117,157,247427,57,12000612,3047424,2320160
48.0,117,161,252747,57,12000612,3047424,2171440
49.0,117,164,258027,57,12000612,3047424,2065184
50.0,117,167,263347,57,12000612,3047424,2083360
51.1,117,171,268627,57,12000612,3047424,2199504
52.1,117,175,273907,57,12000612,3047424,2309600
53.1,117,179,279227,57,12000612,3047424,2416384
54.1,117,182,284427,57,12000612,3047424,2174160
55.2,117,186,289915,57,12000612,3047424,2079328
56.2,117,190,295235,57,12000612,3047424,2062640
57.2,117,193,300515,57,12000612,3047424,2106656
58.3,117,197,305795,57,12000612,3047424,2207120
59.3,117,201,311075,57,12000612,3047424,2252592
60.3,117,204,316395,57,12000612,3047424,2170080
61.3,117,208,321675,57,12000612,3047424,2223808
62.3,117,212,326995,57,12000612,3047424,2279520
63.4,117,215,332275,57,12000612,3047424,2259280
64.4,117,219,337555,57,12000612,3047424,2328496
65.4,117,223,342875,57,12000612,3047424,2308496
66.4,117,227,348115,57,12000612,3047424,2315312
67.4,117,231,353355,57,12000612,3047424,2364896
68.5,117,234,358675,57,12000612,3047424,2341664
69.5,117,238,363995,57,12000612,3047424,2136192
70.5,117,242,369275,57,12000612,3047424,2138496
71.5,117,246,374355,57,12000612,3047424,2095904
72.6,117,249,379675,57,12000612,3047424,2192384
73.6,117,252,384955,57,12000612,3047424,2250128
74.6,117,256,390275,57,12000612,3047424,2187904
75.6,117,259,395555,57,12000612,3047424,2191792
76.6,117,263,400875,57,12000612,3047424,2058144
77.7,117,267,406155,57,12000612,3047424,2150944
78.7,117,271,411435,57,12000612,3047424,2265264
79.7,117,274,416695,57,12000612,3047424,2357920
80.7,117,278,421955,57,12000612,3047424,2371136
81.7,117,281,427235,57,12000612,3047424,2432192
82.8,117,286,432515,57,12000612,3047424,2342032
83.8,117,290,437795,57,12000612,3047424,2133584
84.8,117,293,443115,57,12000612,3047424,2084272
85.8,117,297,448395,57,12000612,3047424,2059520
86.9,117,301,453475,57,12000612,3047424,2156384
87.9,117,305,458755,57,12000612,3047424,2341280
88.9,117,309,464036,57,12000612,3047424,2171056
89.9,117,313,469356,57,12000612,3047424,2166656
91.0,117,316,474636,57,12000612,3047424,2205792
92.0,118,319,479956,57,12000612,3047424,2242656
93.0,118,322,485237,57,12000612,3047424,2225376
94.0,118,326,490517,57,12000612,3047424,2247136
95.0,119,329,495797,57,12000612,3047424,2154688
96.1,119,332,501117,57,12000612,3047424,2292160
97.1,119,336,506317,57,12000612,3047424,2347184
98.1,120,340,511637,57,12000612,3047424,2363792
99.1,120,343,516917,57,12000612,3047424,2351152
100.1,121,346,522237,57,12000612,3047424,2320288
101.2,121,349,527517,57,12000612,3047424,2155584
102.2,121,353,532837,57,12000612,3047424,2106848
103.2,121,356,538117,57,12000612,3047424,2109760
104.2,122,358,543437,57,12000612,3047424,2283936
105.2,122,362,548683,57,12000612,3047424,2413664
106.3,122,366,554003,57,12000612,3047424,2416944
107.3,122,369,559283,57,12000612,3047424,2445024
108.3,122,373,564603,57,12000612,3047424,2328432
109.3,122,376,569883,57,12000612,3047424,2367424
110.4,122,379,575203,57,12000612,3047424,2284384
111.4,123,382,580484,57,12000612,3047424,2374544
112.4,124,386,585769,57,12000612,3047424,2490592
113.4,124,391,591084,57,12000612,3047424,2529216
114.5,124,395,596404,57,12000612,3047424,2316096
115.5,124,399,601764,57,12000612,3047424,2170320
116.5,124,403,607124,57,12000612,3047424,2195600
117.6,124,408,612284,57,12000612,3047424,2259936
118.6,124,412,617604,57,12000612,3047424,2319744
119.6,124,416,622855,57,12000612,3047424,2435312
120.6,124,420,628164,57,12000612,3047424,2200016
121.7,124,424,633444,57,12000612,3047424,2135920
122.7,124,427,638804,57,12000612,3047424,2146144
123.7,124,432,643970,57,12000612,3047424,2080624
124.8,124,437,649270,57,12000612,3051520,2193616
125.8,124,440,654590,57,12000612,3051520,2167424
126.8,125,443,659870,57,12000612,3051520,1999808
127.8,125,446,665170,57,12000612,3051520,2096912
128.8,125,450,670440,57,12000612,3051520,2124960
129.9,126,453,675710,57,12000612,3051520,2162976
130.9,126,458,680990,57,12000612,3051520,2381584
131.9,126,461,686310,57,12000612,3051520,2192032
132.9,126,466,691550,57,12000612,3051520,2049888
134.0,126,469,696870,57,12000612,3051520,1952224
135.0,126,473,702190,57,12000612,3051520,1926928
136.0,127,476,707510,57,12000612,3051520,2088256
137.0,127,479,712830,57,12000612,3051520,2353664
138.1,127,483,718110,57,12000612,3051520,2311184
139.1,127,486,723431,57,12000612,3051520,2282800
140.1,127,490,728751,57,12000612,3051520,2181008
141.1,127,494,734071,57,12000612,3051520,2136336
142.2,127,497,739391,57,12000612,3051520,2287200
143.2,127,501,744631,57,12000612,3051520,2374144
144.2,127,505,749951,57,12000612,3051520,2393744
145.2,127,509,755231,57,12000612,3051520,2245440
146.3,127,513,760511,57,12000612,3051520,2142320
147.3,128,517,765791,57,12000612,3051520,2113920
148.3,128,521,771111,57,12000612,3051520,2256368
149.3,128,525,776151,57,12000612,3051520,2353696
150.4,128,529,781471,57,12000612,3051520,2201664
151.4,128,533,786751,57,12000612,3051520,2046848
152.4,128,536,792031,57,12000612,3051520,2130912
153.4,128,541,797271,57,12000612,3051520,2184368
154.4,128,545,802466,57,12000612,3051520,2314592
155.5,128,549,807747,57,12000612,3051520,2146208
156.5,128,553,813003,57,12000612,3051520,2091712
157.5,128,557,818283,57,12000612,3051520,2145392
158.5,128,560,823563,57,12000612,3051520,2186032
159.5,128,564,828883,57,12000612,3051520,2276080
160.6,128,568,834203,57,12000612,3051520,2278384
161.6,128,571,839483,57,12000612,3051520,2112320
162.6,128,574,844773,57,12000612,3051520,2070672
163.6,128,578,850083,57,12000612,3051520,2063520
164.7,128,582,855398,57,12000612,3051520,2178096
165.7,128,586,860643,57,12000612,3051520,2308848
166.7,128,590,865923,57,12000612,3051520,2391744
167.7,128,594,871243,57,12000612,3051520,2303776
168.8,128,597,876508,57,12000612,3051520,2188928
169.8,128,600,881803,57,12000612,3051520,2127008
170.8,128,604,887123,57,12000612,3051520,2197360
171.8,128,607,892363,57,12000612,3051520,2423840
172.8,128,612,897483,57,12000612,3051520,2313808
173.9,128,617,902695,57,12000612,3051520,2041536
174.9,128,621,907775,57,12000612,3051520,1850544
175.9,129,625,913066,57,12000612,3051520,1914224
