ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
0.0,0,0,52,1,5659,540672,1328
1.0,90,5,10541,32,12000612,2387968,67984
2.0,97,9,19534,32,12000612,2387968,375104
3.1,99,11,24778,32,12000612,2387968,599312
4.1,99,15,30060,32,12000612,2387968,862192
5.1,99,19,35300,32,12000612,2387968,1131760
6.1,99,22,40620,32,12000612,2387968,1301984
7.1,99,25,45900,32,12000612,2387968,1531648
8.2,99,29,51220,32,12000612,2387968,1667040
9.2,99,33,56500,32,12000612,2387968,1670112
10.2,99,37,61820,32,12000612,2387968,1825872
11.2,99,41,67060,32,12000612,2387968,1860416
12.2,100,45,72380,32,12000612,2387968,1757552
13.3,100,48,77655,32,12000612,2387968,1823600
14.3,100,52,82861,32,12000612,2387968,1982112
15.3,100,56,88141,32,12000612,2387968,2061728
16.3,100,59,93421,32,12000612,2387968,1969984
17.3,100,63,98701,32,12000612,2387968,2043840
18.4,101,66,103986,32,12000612,2387968,1898544
19.4,102,68,109306,32,12000612,2387968,1816400
20.4,102,72,114553,32,12000612,2387968,1878960
21.4,103,76,119779,32,12000612,2387968,1818352
22.5,103,80,125101,32,12000612,2387968,1872800
23.5,103,84,130393,32,12000612,2387968,1942880
24.5,103,88,135685,32,12000612,2387968,1990016
25.5,103,92,140928,32,12000612,2387968,1940880
26.6,103,98,146049,32,12000612,2387968,1987552
27.6,103,102,151339,32,12000612,2387968,2007424
28.6,103,106,156609,32,12000612,2387968,2082384
29.6,103,110,161729,32,12000612,2387968,2001920
30.6,103,115,167049,32,12000612,2387968,2077648
31.7,103,119,172329,32,12000612,2387968,1935872
32.7,103,124,177609,32,12000612,2387968,1858416
33.7,103,127,182929,32,12000612,2387968,1752768
34.7,103,132,188209,32,12000612,2387968,1978976
35.8,103,136,193489,32,12000612,2387968,2010224
36.8,103,140,198729,32,12000612,2387968,2029568
37.8,103,143,204049,32,12000612,2387968,1900528
38.8,103,147,209329,32,12000612,2387968,1785392
39.9,103,151,214649,32,12000612,2387968,1872848
40.9,103,155,219889,32,12000612,2387968,2098720
41.9,103,159,225169,32,12000612,2387968,2137376
42.9,103,163,230449,32,12000612,2387968,2078256
43.9,103,166,235769,32,12000612,2387968,2088832
45.0,103,169,241049,32,12000612,2387968,2211760
46.0,103,172,246370,32,12000612,2387968,2173760
47.0,103,176,251650,32,12000612,2387968,2307312
