ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
0.0,0,0,52,1,5659,417792,1296
1.0,94,2,10840,34,12000612,2301952,68208
2.0,97,4,20226,34,12000612,2301952,443552
3.0,97,8,25508,34,12000612,2301952,665664
4.1,98,11,30788,34,12000612,2301952,931440
5.1,100,13,36108,34,12000612,2301952,1187840
6.1,100,16,41308,34,12000612,2301952,1423504
7.1,100,19,46628,34,12000612,2301952,1625968
8.1,101,23,51908,34,12000612,2301952,1790544
9.2,101,27,57188,34,12000612,2301952,1894752
10.2,101,31,62429,34,12000612,2301952,1949616
11.2,101,34,67709,34,12000612,2301952,1986096
12.2,101,38,73029,34,12000612,2301952,1918640
13.3,101,42,78327,34,12000612,2301952,1850864
14.3,101,45,83549,34,12000612,2301952,1979744
15.3,101,49,88829,34,12000612,2301952,2088560
16.3,101,54,94084,34,12000612,2301952,2079696
17.3,101,58,99349,34,12000612,2301952,2119984
18.4,101,63,104589,34,12000612,2301952,2157168
19.4,101,67,110096,34,12000612,2301952,2021696
20.5,101,70,115376,34,12000612,2301952,2008704
21.5,101,73,120571,34,12000612,2301952,2145776
22.5,102,75,125891,34,12000612,2301952,2162560
23.5,103,79,131131,34,12000612,2301952,2387728
24.5,103,82,136416,34,12000612,2301952,2345536
25.6,103,86,141656,34,12000612,2301952,2217600
26.6,103,89,146976,34,12000612,2301952,2397712
27.6,104,92,152256,34,12000612,2301952,2562816
28.6,104,96,157536,34,12000612,2301952,2298752
29.6,104,99,162816,34,12000612,2301952,2173632
30.7,104,103,168096,34,12000612,2301952,2085712
31.7,105,107,173376,34,12000612,2301952,2258944
32.7,105,110,178696,34,12000612,2301952,2460112
33.7,105,115,183936,34,12000612,2301952,2448128
34.7,105,118,189216,36,12000612,2334720,2387648
35.8,106,121,194496,36,12000612,2334720,2344272
36.8,106,125,199816,36,12000612,2334720,2412112
37.8,106,128,205096,36,12000612,2334720,2493280
38.8,106,132,210376,36,12000612,2334720,2507728
39.8,106,135,215656,36,12000612,2334720,2577632
40.9,106,138,220936,36,12000612,2334720,2547840
41.9,106,142,226251,36,12000612,2334720,2638240
42.9,106,146,231442,36,12000612,2334720,2553632
43.9,106,150,236722,36,12000612,2334720,2413600
45.0,106,153,242011,36,12000612,2334720,2313712
46.0,106,156,247291,36,12000612,2334720,2324608
47.0,106,160,252611,36,12000612,2334720,2300080
48.0,106,163,257931,36,12000612,2334720,2412048
49.0,106,166,263211,36,12000612,2334720,2405088
50.0,106,170,268491,36,12000612,2334720,2565392
51.1,106,173,273811,36,12000612,2334720,2304704
52.1,106,176,279131,36,12000612,2334720,2180288
53.1,106,179,284436,36,12000612,2334720,2307216
54.1,106,182,289731,36,12000612,2334720,2422224
55.1,106,186,295011,36,12000612,2334720,2603152
56.2,106,190,300291,36,12000612,2334720,2516864
57.2,106,193,305571,36,12000612,2334720,2235232
58.2,106,196,310891,36,12000612,2334720,2183472
59.2,106,199,316171,36,12000612,2334720,2391120
60.2,106,202,321491,36,12000612,2334720,2581872
61.3,106,206,326731,36,12000612,2334720,2683360
62.3,106,210,332011,36,12000612,2334720,2462640
63.3,106,214,337297,36,12000612,2334720,2183088
64.3,106,217,342617,36,12000612,2334720,2187632
65.3,106,220,347897,36,12000612,2334720,2346240
66.4,106,223,353217,36,12000612,2334720,2388112
67.4,106,227,358457,36,12000612,2334720,2452576
68.4,106,230,363777,36,12000612,2334720,2568336
69.4,106,234,369052,36,12000612,2334720,2630240
70.4,106,237,374347,36,12000612,2334720,2492960
71.5,106,241,379657,36,12000612,2334720,2503408
72.5,106,244,384937,36,12000612,2334720,2305536
73.5,106,248,390217,36,12000612,2334720,2192032
74.5,106,251,395537,36,12000612,2334720,2348400
75.5,106,254,400857,36,12000612,2334720,2548896
76.6,106,258,406097,36,12000612,2334720,2543232
77.6,106,262,411306,36,12000612,2334720,2420832
78.6,106,266,416666,36,12000612,2334720,2385728
79.6,106,270,421946,36,12000612,2334720,2465776
80.7,106,274,427226,36,12000612,2334720,2474816
81.7,106,278,432506,36,12000612,2334720,2615344
82.7,106,282,437786,36,12000612,2334720,2505968
83.7,106,286,443026,36,12000612,2334720,2400512
84.7,107,289,448326,36,12000612,2334720,2378176
85.8,107,293,453626,36,12000612,2334720,2326688
86.8,108,295,458946,36,12000612,2334720,2509904
87.8,108,299,464266,36,12000612,2334720,2570624
88.8,108,302,469546,36,12000612,2334720,2654832
89.9,108,306,474866,36,12000612,2334720,2550544
90.9,108,309,480146,36,12000612,2334720,2358688
91.9,108,313,485466,36,12000612,2334720,2334576
92.9,108,317,490706,36,12000612,2334720,2404592
93.9,108,320,496026,36,12000612,2334720,2403296
95.0,108,324,501066,36,12000612,2334720,2422512
96.0,108,328,506346,36,12000612,2334720,2501360
97.0,109,331,511586,36,12000612,2334720,2411168
98.0,109,334,516896,36,12000612,2334720,2213264
99.0,109,338,522186,36,12000612,2334720,2131728
100.1,109,341,527466,36,12000612,2334720,2156624
101.1,109,345,532746,36,12000612,2334720,2296768
102.1,109,348,538066,36,12000612,2334720,2372400
103.1,109,352,543306,36,12000612,2334720,2541200
104.1,109,355,548586,36,12000612,2334720,2338464
105.2,109,358,553906,36,12000612,2334720,2217088
106.2,110,361,559186,36,12000612,2334720,2250656
107.2,110,365,564466,36,12000612,2334720,2412400
108.2,110,369,569786,36,12000612,2334720,2476656
109.2,110,372,575026,36,12000612,2334720,2448768
110.3,110,375,580346,36,12000612,2334720,2471936
111.3,110,378,585626,36,12000612,2334720,2402896
112.3,110,382,590906,36,12000612,2334720,2398720
113.3,111,386,596226,36,12000612,2334720,2413376
114.4,111,390,601426,36,12000612,2334720,2294576
115.4,111,394,606746,36,12000612,2334720,2512832
116.4,111,397,612026,36,12000612,2334720,2378656
117.4,111,400,617346,36,12000612,2334720,2383344
118.4,111,403,622626,36,12000612,2334720,2345552
119.5,112,407,627906,36,12000612,2334720,2352464
120.5,112,411,633186,36,12000612,2334720,2454320
121.5,112,415,638466,36,12000612,2334720,2395328
122.5,112,418,643786,36,12000612,2334720,2182016
123.6,112,421,649066,36,12000612,2334720,2136800
124.6,112,424,654386,36,12000612,2334720,2268736
125.6,112,427,659706,36,12000612,2334720,2383328
126.6,112,430,664986,36,12000612,2334720,2443408
127.6,113,435,670266,36,12000612,2334720,2465952
128.7,113,438,675546,36,12000612,2334720,2402992
129.7,113,442,680866,36,12000612,2334720,2479680
130.7,113,445,686146,36,12000612,2334720,2442032
131.7,113,449,691466,36,12000612,2334720,2468480
132.7,113,452,696586,36,12000612,2334720,2320224
133.8,113,455,701826,36,12000612,2334720,2385008
134.8,113,459,707106,36,12000612,2334720,2391088
135.8,113,463,712426,36,12000612,2334720,2369120
136.8,113,467,717706,36,12000612,2334720,2413376
137.9,113,472,722906,36,12000612,2334720,2252400
138.9,114,475,728226,36,12000612,2334720,2042080
139.9,114,477,733506,36,12000612,2334720,2001904
140.9,114,480,738826,36,12000612,2334720,2222352
141.9,114,484,744111,36,12000612,2334720,2397360
143.0,114,488,749426,36,12000612,2334720,2334464
144.0,114,491,754706,36,12000612,2334720,2238464
145.0,114,495,759986,36,12000612,2334720,2463664
146.0,114,498,765266,36,12000612,2334720,2447776
147.0,114,501,770586,36,12000612,2334720,2357936
148.1,115,504,775866,36,12000612,2334720,2343648
149.1,115,508,781186,36,12000612,2334720,2393984
150.1,115,511,786466,36,12000612,2334720,2526016
151.1,115,515,791786,36,12000612,2334720,2390688
152.2,115,518,797066,36,12000612,2334720,2294464
153.2,115,521,802316,36,12000612,2334720,2433648
154.2,115,525,807596,36,12000612,2334720,2285088
155.2,116,528,812876,36,12000612,2334720,2431360
156.2,116,531,818156,36,12000612,2334720,2489632
157.3,116,534,823476,36,12000612,2334720,2477120
158.3,116,538,828756,36,12000612,2334720,2408624
159.3,116,541,834036,36,12000612,2334720,2423456
160.3,116,544,839317,36,12000612,2334720,2434544
161.3,116,548,844597,36,12000612,2334720,2489632
162.3,116,551,849917,36,12000612,2334720,2441456
163.4,116,554,855197,36,12000612,2334720,2462816
164.4,116,557,860477,36,12000612,2334720,2643856
165.4,116,560,865757,36,12000612,2334720,2496080
166.4,117,563,871077,36,12000612,2334720,2239488
167.4,117,567,876397,36,12000612,2334720,2184624
168.5,117,570,881717,36,12000612,2334720,2385632
169.5,117,574,886785,36,12000612,2334720,2451424
170.5,117,577,892105,36,12000612,2334720,2366944
171.5,117,580,897385,36,12000612,2334720,2427184
172.6,118,584,902665,36,12000612,2334720,2539104
173.6,118,588,907945,36,12000612,2334720,2442944
174.6,118,591,913225,36,12000612,2334720,2453264
175.6,118,594,918545,36,12000612,2334720,2308256
176.6,118,597,923865,36,12000612,2334720,2247856
177.7,118,600,929145,36,12000612,2334720,2302608
178.7,120,607,933809,843,12000612,20471808,2465728
179.7,133,614,943515,1746,12000612,22847488,2388768
180.7,145,615,946532,2598,12000612,22847488,2364752
181.7,153,622,949642,3484,12000612,22847488,2377520
182.8,161,625,952569,4338,12000612,22847488,2311008
183.8,170,631,955638,5215,12000612,22847488,2202240
184.8,185,631,958244,5970,12000612,22847488,2116576
185.8,203,632,961430,6883,12000612,22917120,2065360
186.8,211,634,963996,7656,12000612,22917120,2049360
187.9,225,635,967174,8562,12000612,22917120,2050080
188.9,236,639,970375,9502,12000612,22917120,2054784
189.9,243,644,973237,10331,12000612,22917120,2046592
190.9,254,649,976562,11237,12000612,22917120,2052736
191.9,268,650,979129,12021,12000612,22917120,2040256
192.9,281,651,982438,12925,12000612,22917120,2042864
194.0,290,658,985329,13765,12000612,22917120,2045376
195.0,300,662,988347,14631,12000612,22917120,2042368
196.0,307,667,991352,15484,12000612,22917120,1983776
197.0,317,673,994459,16347,12000612,22917120,1907984
198.1,330,676,997476,17214,12000612,22949888,1847760
199.1,338,681,1000463,18085,12000612,22966272,1850912
200.1,345,687,1003727,19048,12000612,22966272,1852416
201.1,355,691,1006635,19853,12000612,22966272,1847152
202.1,366,692,1009187,20503,12000612,22966272,1827088
203.2,378,696,1012544,21315,12000612,22966272,1818544
204.2,389,699,1015985,22376,12000612,22966272,1841264
205.2,397,706,1019561,23566,12000616,23359488,1837456
206.2,413,706,1022873,24450,12000616,23359488,1809536
207.2,423,709,1025944,25298,12000616,23359488,1768272
208.2,439,712,1028968,26123,12000616,23359488,1721824
209.3,451,716,1031930,26996,12000616,23359488,1687680
210.3,464,717,1034985,27865,12000616,23359488,1654560
211.3,471,723,1038004,28717,12000616,23359488,1652832
212.3,481,726,1041081,29627,12000616,23359488,1648096
213.3,492,729,1044113,30478,12000616,23359488,1651504
214.3,504,734,1047013,31309,12000616,23359488,1647392
215.4,521,736,1049798,32147,12000616,23359488,1646736
216.4,530,741,1052503,32957,12000616,23359488,1648064
217.4,544,745,1055082,33791,12000616,23359488,1640960
218.4,556,746,1057927,34630,12000616,23359488,1638656
219.5,567,749,1060673,35440,12000616,23359488,1637936
220.5,580,754,1063608,36272,12000616,23359488,1637952
221.5,593,756,1066586,37126,12000616,23359488,1642656
222.5,607,760,1069503,37995,12000616,23359488,1645104
223.5,619,762,1072451,38856,12000616,23359488,1641856
224.5,629,767,1075767,39757,12000616,23359488,1648640
225.6,639,771,1078961,40635,12000616,23359488,1649824
226.6,649,776,1082229,41536,12000616,23359488,1656944
227.6,658,783,1085220,42387,12000616,23359488,1656016
228.6,671,785,1088527,43153,12000616,23359488,1630848
229.6,680,789,1090869,43790,12000616,23359488,1607792
230.6,692,791,1094436,44831,12000616,23359488,1641024
231.7,705,799,1097627,46208,12001519,31911936,1706784
232.7,707,801,1099795,46943,12001519,31911936,1663312
233.7,718,802,1102805,47723,12001519,31911936,1653696
234.7,722,803,1105380,48451,12001519,31911936,1636464
235.7,737,806,1107686,49246,12001519,31911936,1646464
236.8,748,809,1110488,49977,12001519,31911936,1648016
237.8,756,811,1112849,50668,12001519,31911936,1634480
238.8,766,813,1115585,51441,12001519,31911936,1632224
239.8,774,817,1118320,52223,12001519,31911936,1629200
240.8,784,820,1121233,53001,12001519,31911936,1632544
241.8,787,822,1123383,53741,12001519,31944704,1645232
242.9,797,824,1126197,54557,12001519,31993856,1632768
243.9,811,824,1129014,55370,12001519,32108544,1626912
244.9,815,828,1131094,56029,12001519,32108544,1623392
245.9,825,833,1133484,56778,12001519,32256000,1623280
246.9,834,839,1136158,57557,12001519,32272384,1623248
248.0,845,841,1138835,58301,12001519,32272384,1623472
249.0,862,842,1141439,59022,12001519,32272384,1625040
250.0,879,842,1144204,59782,12001519,32272384,1624112
251.0,883,844,1146622,60528,12001519,32272384,1621360
252.0,893,846,1149082,61295,12001519,32272384,1621856
253.1,903,849,1151763,62050,12001519,32272384,1620432
254.1,912,851,1154561,62814,12001519,32288768,1616704
255.1,919,853,1157341,63601,12001519,32288768,1623712
256.1,927,855,1159573,64307,12001519,32288768,1617824
257.1,943,857,1162255,65077,12001519,32288768,1624000
258.2,951,859,1164996,65855,12001519,32288768,1605312
259.2,956,860,1167300,66644,12001519,32288768,1610928
260.2,968,860,1169986,67452,12001519,32305152,1613024
261.2,979,862,1172928,68213,12001519,32305152,1611376
262.2,982,864,1175236,68900,12001519,32305152,1598208
263.2,994,867,1178026,69744,12001519,32305152,1610592
264.3,1008,869,1180451,70500,12001519,32305152,1612352
265.3,1025,872,1182982,71194,12001519,32305152,1606976
266.3,1037,872,1185810,71949,12001519,32305152,1605152
267.3,1043,875,1188438,72731,12001519,32305152,1608496
268.3,1049,878,1190779,73443,12001519,32305152,1600816
269.4,1058,879,1193269,74213,12001519,32305152,1617296
270.4,1072,882,1196062,75015,12001519,32305152,1612960
271.4,1088,883,1198680,75759,12001519,32321536,1607200
272.4,1091,886,1201205,76488,12001519,32321536,1605456
273.4,1101,888,1203547,77230,12001519,32321536,1608544
274.5,1111,889,1206346,77996,12001519,32321536,1605920
275.5,1114,891,1208640,78723,12001519,32321536,1599152
276.5,1125,893,1211269,79487,12001519,32321536,1615936
277.5,1143,895,1214016,80212,12001519,32321536,1617616
278.5,1151,899,1216989,80981,12001519,32321536,1612624
279.6,1155,901,1219498,81730,12001519,32321536,1604528
280.6,1163,905,1221971,82436,12001519,32321536,1610960
281.6,1174,909,1224780,83146,12001519,32321536,1606352
282.6,1184,912,1227469,83905,12001519,32321536,1606624
283.6,1196,915,1230211,84656,12001519,32321536,1607472
284.7,1201,917,1232451,85333,12001519,32321536,1604832
285.7,1214,920,1235224,86071,12001519,32321536,1612128
286.7,1227,923,1238161,86847,12001519,32321536,1621072
287.7,1236,925,1240914,87589,12001519,32321536,1612576
288.7,1245,929,1243041,88298,12001519,32321536,1617152
289.8,1258,932,1245504,88995,12001519,32321536,1611728
290.8,1261,935,1247597,89663,12001519,32321536,1600160
